ID;Deal ID;Spatial accuracy level;Location;Point;Facility name;Location description;Comment on location
nAynGa-r;5379;Exact location;Біловоди, Сумська область, Україна, 42310;51.17224,34.9761;;;Cadastral number - 5924781100:03:010:0017. Size - 5.6566 ha. Owner - private. Date of State registration of lease right - 24.05.2018.
q04KBw3m;5383;Administrative region;Crvenka, Serbia;45.6583,19.46234;;;
Hzux_oFX;5383;Administrative region;Sivac, Serbia;45.72205,19.37922;Backa;;cultivate 2,282 hectares of state land in the Sivac area
cpn2MRXd;5383;Administrative region;Obrovac, Serbia;45.32299,19.36749;;;
cLXCNOrA;5383;Administrative region;Nova Gajdobra, Serbia;45.32606,19.43305;Jadran ;;The operating company bought 400 hectares of land of the AD Jadran in Nova Gajdobra for 10,000 euros per hectare
2kvE9Naf;5383;Administrative region;Kruscic, Serbia;45.61486,19.37486;;;
QWMMaGTh;5383;Administrative region;Lipar, Serbia;45.70169,19.55008;;;
B4QzX1g3;5383;Approximate location;Караджорджево, Сербія;45.30034,19.30235;;;3,500 hectares of arable land in the Karadjordjevo Military Establishment. Under the media information, there is question about paying compensation to the landowner at the Morović Military Institution.
5egHR4F0;5383;Approximate location;Sonta, Serbia;45.5824,19.05524;Mladi Borac;Project location;link - http://alrawafed-serbia.com/en/about-us/investment/
d3hHivmx;5383;Administrative region;Kula, Сербія;45.61276,19.52748;;;Also in a direct deal and without a public auction, they were granted the right to use 4,300 hectares of farming land in Kula.
A4pSOixP;5383;Approximate location;Bač, Сербія;45.39163,19.23683;Agrobačka ;;
HH633gPg;5385;Approximate location;Aleksa Šantić, Сербія;45.9259,19.33293;;;
nyOToMvx;5465;Administrative region;Kano, Nigeria;12.00218,8.59196;;;Spread across four local government areas- Gagarawa, Taura, Suletankarkar and Garki local government areas of the state. 12,000 hectares of land in four local government areas of the state
8rfoSuDt;5465;Administrative region;Jigawa, Nigeria;12.57003,8.94006;;;Located in Jigawa state in Nigeria
lOmwlnKJ;5494;Administrative region;Ségou Region, Mali;13.83945,-6.06792;;Toya committed to develop land for cotton and corn production in the Kareri perimeters located in the Macina area.;Kareri zone of the Office du Niger
v9R9dS90;5501;Administrative region;Zernogradsky District, Rostov Oblast, Russia;46.84249,40.52721;;;Khutor Donskoy and Chernyshevka
JKQwZnFX;5522;Coordinates;Oromia, Ethiopia;9.31456,36.5242; Raj agro industry Mango farm;Loko Administrative kebele of the RAJ Agro Industry Loko Mango Commercial Farm of Guto Gida district (09°18.874″ N and 036° 31.452″ E);"Located in Luko, Guto Gida, Oromia
Area in operation polygon from Google Earth Pro"
1Yo2zu9Q;5523;Exact location;Raj Agro Industries, wama, sire, Sire E Wellega, Ethiopia;8.98001,36.78847;Raj agro industry;;"llocated in Jarso Wama, Sibu Sire, Oromia
Location from google maps"
sadjiMag;5528;Coordinates;São Raimundo das Mangabeiras - State of Maranhão, Brazil;-6.797374,-45.736191;Fazenda São José;;
Pg8EAQOc;5551;Approximate location;Făcăeni, Romania;44.5566,27.89009;;;Agricultural land geographicaly is a part of Facaeni village.
5BVisa9o;5551;Administrative region;Borduşani, Romania;44.47813,27.90398;;;
Cse_S5Z3;5552;Administrative region;Balaciu, Romania;44.61667,26.88333;;;
ZztGjgp_;5552;Administrative region;Albești 547025, Romania;46.23308,24.8486;;;
Y9Js-jkM;5552;Approximate location;Buești 927012, Romania;44.54496,27.18497;;;
gzAckoLR;5552;Approximate location;Ciochina, Romania;44.59294,27.06066;;;
JP3fWBFb;5598;Administrative region;Kinshasa, Democratic Republic of the Congo;-4.44193,15.26629;;70 Avenue Batetela, Immeuble Tilapia, 5e etage, Gombe, Kinshasa;Situated along the banks of the N’Sele River, some 50 kilometers outside the capital of Kinshasa
kJ9CZOfC;5600;Coordinates;Gurue, Mozambique;-15.46208,37.14106;G&F Macadamia Farm;;The shapefile has been drawn from satellite imagery
cnxJH9aQ;5604;Administrative region;Monapo, Mozambique;-14.91501,40.32928;;;"Muchaleque (Nacololo)
Located in Monapo, Mozambiqe"
FiE-ykrX;5605;Administrative region;Monapo, Mozambique;-14.80346,40.22712;;;"Nacololo
Located in Monapo, Mozambique"
q-YRLhvL;5613;Coordinates;Campo Ramón, Misiones, Argentina;-27.5532,-54.932124;Casa Fuentes;;
u7SX-Xah;5613;Administrative region;Jardín America, Misiones, Argentina;-27.03986,-55.23073;;;
oLW5w6NJ;5617;Administrative region;Majune, Mozambique;-13.27689,36.43644;;The farm is located 120km east of Lichinga;The farm is about 200km south of Tanzania in the upper lefthand corner of the East African country,Niassa Province
nfJVDvfF;5621;Approximate location;Zambezia Province, Mozambique;-16.5639,36.60939;;;Located in Zambezia province 
7ERby-58;5631;Administrative region;Monapo, Mozambique;-14.91501,40.32928;;;
AyyImXIi;5639;Administrative region;Chokwe, Mozambique;-24.53232,32.9832;;;Ghaza province, Chokwe, Macarretane
puhJdX4G;5648;Administrative region;Lucas do Rio Verde, Mato Grosso, Brasil;-13.07643,-55.90939;;;
uuVZXC21;5649;Coordinates;San Jose Nuevo Palmar, Belize;18.042826,-88.557182;;;
J_pHvuz4;5650;Administrative region;Ñacunday, Paraguay;-26.01591,-54.69316;;;
PwssEmuZ;5659;Approximate location;Salima, Malawi;-13.77955,34.45864;;;"From the source it states  5,000 hectares of land that are lying idle at the company
"
IQQo2hVh;5663;Exact location;Boane, Mozambique;-26.04588,32.2736;;;Location is not clear. Boane district of the coastal Mozambican province of Maputo. eight sites totaling 1600 ha.
OV1ziqGy;5718;Coordinates;Fazenda Sao Pedro - Cananéia, SP, Brasil;-24.793146,-47.808077;Finca São Pedro;;Finca São Pedro, Cananeia (SP)
UpX3iPnj;5719;Coordinates;Kendal, Belice;16.80557,-88.384763;;;
Ow6ZFbq6;5724;Administrative region;Tarasivka, Poltavs'ka oblast, Ukraine, 38113;50.24859,34.34597;;;
rF7uOG-v;5725;Administrative region;Velyki Derevychi, Zhytomyrs'ka oblast, Ukraine, 13126;49.96367,27.59003;;;
T9Nm_YFJ;5725;Approximate location;Малий Браталів, Житомирська область, Україна;49.86097,27.79422;;;
4lXzvWtS;5725;Approximate location;Kyryivka, Житомирська область, Україна;49.85768,27.87611;;;
GTuXVtqz;5725;Approximate location;Стетківці, Житомирська область, Україна;49.84294,27.92729;;;
TaLXqOCr;5725;Approximate location;Molochky, Житомирська область, Україна;49.85236,27.98138;;;
tDMYcOnR;5727;Administrative region;Chovno-Fedorivka, Poltavs'ka oblast, Ukraine, 38150;50.00128,34.43556;;;
NDUSP7zq;5728;Approximate location;Zubani, Poltavs'ka oblast, Ukraine;49.54589,33.56444;;;
CfBcS00M;5728;Approximate location;Shepelivka, Полтавська область, Україна;49.33199,33.27366;;;
sIQdSYSc;5728;Approximate location;Syrotenky, Полтавська область, Україна;49.33688,33.57353;;;
1INBx60P;5728;Approximate location;Троїцьке, Полтавська область, Україна;49.36767,33.53623;;;
jzrSwl-5;5728;Approximate location;Hrynky, Полтавська область, Україна;49.45786,33.02937;;;
nqxoohRh;5728;Approximate location;Kryva Ruda, Полтавська область, Україна;49.50465,32.9902;;;
MepTLFE1;5728;Approximate location;Brusove, Полтавська область, Україна;49.522,33.3392;;;
GXuOByzE;5728;Approximate location;Бугаївка, Полтавська область, Україна;49.42554,32.93914;;;
qbcHx2rL;5728;Approximate location;Пустовійтове, Полтавська область, Україна;49.33966,33.37726;;;
tFk_5ywq;5728;Approximate location;Степове, Полтавська область, Україна;49.4298,33.42921;;;
qOOQa7Iq;5728;Approximate location;Святилівка, Полтавська область, Україна;49.45995,32.81353;;;
OudMpHvP;5728;Approximate location;Sirenky, Полтавська область, Україна;49.44675,33.38594;;;
LN2mfynw;5728;Approximate location;Проценки, Полтавська область, Україна;50.18838,34.45974;;;
snLTjpPu;5728;Approximate location;Hlobyne, Полтавська область, Україна;49.39202,33.25999;;;
PCNiaNNs;5728;Approximate location;Бакумівка, Полтавська область, Україна;50.09817,33.74597;;;
CLe3Vuby;5728;Approximate location;Святилівка, Полтавська область, Україна;49.45995,32.81353;;;
XvIg-iJ3;5728;Approximate location;Семенівка, Полтавська область, Україна;49.59783,33.18897;;;
nDDtY4nz;5729;Administrative region;Rozsokhuvatka, Cherkas'ka oblast, Ukraine, 20507;48.93557,30.85252;;;
L9b2pN7C;5733;Administrative region;Nizhyn, Chernihivs'ka oblast, Ukraine;51.0378,31.8881;;;
gUUhp68O;5733;Administrative region;Bobrovytsya, Chernihivs'ka oblast, Ukraine, 17400;50.74389,31.38594;;;
GW78kwCR;5733;Administrative region;Ichnya, Chernihivs'ka oblast, Ukraine, 16702;50.85796,32.39749;;;
3B-MFuOc;5733;Administrative region;Nosivka, Chernihivs'ka oblast, Ukraine, 17100;50.93743,31.58752;;;
xVZom-0H;5733;Approximate location;Степові Хутори, Чернігівська область, Україна;50.82415,31.70423;;;
0nwiFgyw;5733;Approximate location;Vidradne, Чернігівська область, Україна;50.83371,31.74426;;;
Sc5a6ajn;5733;Approximate location;Karabynivka, Чернігівська область, Україна;50.85155,31.76173;;;
AW14-IkO;5733;Approximate location;Shatura, Чернігівська область, Україна;50.84588,31.82332;;;
LDQBmYZh;5733;Approximate location;Горбачі, Чернігівська область, Україна;50.79463,31.64418;;;
nbU0wnTp;5733;Approximate location;Олександрівка, Чернігівська область, Україна;50.73724,31.68605;;;
lUrSH1WQ;5733;Approximate location;Білоцерківці, Чернігівська область, Україна;50.63155,31.61134;;;
PckwS7nR;5733;Approximate location;Svydovets', Чернігівська область, Україна;50.73874,31.56638;;;
rKjSYg9u;5736;Approximate location;Mala Divytsya, Chernihivs'ka oblast, Ukraine, 17523;50.68708,32.17198;;;
tBeQLOtX;5736;Approximate location;Борзна, Чернігівська область, Ukraine;51.25249,32.42278;;;
cvOT9Uow;5736;Administrative region;Ічня, Chernihiv Oblast, Ukraine;50.85796,32.39749;;;
UZKMsv_P;5736;Approximate location;Дубовий Гай, Чернігівська область, Ukraine;50.4825,32.23569;;;
1quR7UsA;5741;Administrative region;Orativ, Vinnyts'ka oblast, Ukraine, 22600;49.19409,29.53094;;;
2nO-MgwO;5741;Approximate location;Юшківці, Вінницька область, Україна;49.16481,29.69419;;;
4U7Hgvp5;5742;Administrative region;Dolynka, Cherkas'ka oblast, Ukraine, 19112;49.14074,29.83315;;;
Yy1zSbIW;5743;Administrative region;Korytnya, Cherkas'ka oblast, Ukraine, 19130;49.07382,29.68311;;;
sXnVwzvX;5744;Administrative region;Lukashivka, Cherkas'ka oblast, Ukraine, 19926;49.6149,32.48121;;;
ARU2douK;5755;Administrative region;Colonia Santa Rosa, Salta Province, Argentina;-23.39422,-64.42574;;;
sl4AISLS;5808;Administrative region;Nueva Guinea, Nicaragua;11.69322,-84.45402;Fincas La Esperancita, San Antonio y San José.;;
MSuHd8Nh;5813;Administrative region;Shan, Myanmar (Burma);22.0031,98.13386;;;
N4Sk6b9M;5822;Administrative region;Skosarivka, Odessa Oblast, Ukraine, 67024;47.44341,30.52581;;;
N5y1AuIx;5823;Administrative region;Yarmolyntsi, Khmel'nyts'ka oblast, Ukraine, 32101;49.18958,26.84473;;;
4DmSrAPE;5824;Administrative region;Pysarivka, Sums'ka oblast, Ukraine, 42321;51.07876,34.81816;;;
uOB3h8Jb;5824;Administrative region;Krasnopillya, Sums'ka oblast, Ukraine, 42400;50.76711,35.26767;;;
ob37p7yi;5827;Administrative region;Роменський район, Сумська область, Україна;50.66526,33.40962;;;
gI6aJ4Dl;5827;Approximate location;Басівка, Сумська область, Україна;50.84297,33.57878;;;
wQzsnlxR;5827;Approximate location;Велика Бутівка, Сумська область, Україна;50.85129,33.55317;;;
FSZ6g6Jy;5827;Approximate location;Калинівка, Сумська область, Україна;50.82319,33.4048;;;
X9O9NV6y;5835;Administrative region;Kam'yani Potoky, Poltavs'ka oblast, Ukraine, 39763;48.98198,33.51435;;;
aoYgJSmO;5835;Approximate location;Глинськ, Кіровоградська область, Україна;48.95488,32.89959;;;
fJJYs21B;5835;Approximate location;Salivka, Полтавська область, Україна;49.00155,33.78241;;;
XyS4VKUz;5835;Approximate location;Zaichentsi, Полтавська область, Україна;49.98885,34.56259;;;
XIsJtCLj;5835;Approximate location;Prylipka, Полтавська область, Україна;49.40076,33.83535;;;
aFQk8CJM;5835;Approximate location;Obolon, Полтавська область, Україна;49.60335,32.87787;;;
3fLN2Gth;5835;Approximate location;Orlyk, Полтавська область, Україна;48.85894,34.22622;;;
C0D7q9jw;5835;Approximate location;Svitlohirs'ke, Полтавська область, Україна;48.89394,34.07128;;;
6l7Mx2jh;5835;Approximate location;Butenky, Полтавська область, Україна;49.23484,34.10992;;;
mPRcKzZb;5835;Approximate location;Вишневе, Полтавська область, Україна;49.99601,32.6325;;;
p5NWInvt;5835;Approximate location;Яблунівка, Полтавська область, Україна;50.28158,33.2515;;;
GBA4PnXZ;5835;Approximate location;Stari Sanzhary, Полтавська область, Україна;49.42612,34.44566;;;
vuYklEQs;5835;Approximate location;Nyzhni Rivni, Полтавська область, Україна;49.75437,35.1985;;;
STXWazVp;5835;Approximate location;Шевченкове, Полтавська область, Україна;49.43696,33.96386;;;
_uGhASyo;5835;Approximate location;Artelyarshchyna, Полтавська область, Україна;50.06122,34.33536;;;
-61Mthaw;5835;Approximate location;Mykhnivka, Полтавська область, Україна;49.49246,33.95238;;;
m9_dkxj2;5835;Approximate location;Прокопівка, Полтавська область, Україна;49.59127,34.08747;;;
ttgYCPQS;5835;Approximate location;Bakumivka, Полтавська область, Україна;50.09817,33.74597;;;
TNRkRC4F;5835;Approximate location;Polohy, Полтавська область, Україна;49.39467,34.6271;;;
orKi_xj9;5835;Approximate location;Kozelshchyna, Полтавська область, Україна;49.21074,33.84767;;;
kPEWMblU;5835;Approximate location;Vyshneve, Poltava Oblast, Україна;49.99601,32.6325;;;
Ob8qfKjn;5835;Approximate location;Morozy, Полтавська область, Україна;48.9832,34.03846;;;
dI5w9MNQ;5835;Approximate location;Прощуради, Полтавська область, Україна;49.00381,33.99808;;;
1nkNyS7j;5835;Approximate location;Mayachka, Полтавська область, Україна;49.10418,34.51388;;;
R2ey9S-U;5835;Approximate location;Mala Pereschepyna, Мала Перещепина, Полтавська область, Україна;49.39137,34.59832;;;
YAQ_6kt1;5835;Approximate location;Chernyakivka, Poltava Oblast, Україна;49.76608,35.14384;;;
H1vcxayS;5835;Approximate location;Zaitsi, Полтавська область, Україна;49.84025,34.8403;;;
